TRANSIENT_NAME RA DEC mag_r e_mag_r specz Survey "Exposure Time"
DES17X3cdp 37.28283 -4.30434 25.11 0.08 c OzDES -
DES17X3cds 36.27737 -3.79891 22.45 0.06 0.49444 OzDES 5.5
DES17C3fwd 52.90461 -27.46979 20.46 0.02 0.34561 LADUMA -
DES17S1hih 42.57627 -0.76193 24.95 0.12 d - -
DES17C3fjt 51.46785 -28.14106 28.04 0.44 d - -
DES17X3hxi 35.79624 -4.51713 23.37 0.03 0.62457 OzDES 2.0
DES13E2lpk 10.09911 -43.53903 20.49 0.04 0.47541 OzDES 6.0
DES15C2eal 54.0618 -29.23 23.0 0.03 0.22347 OzDES 16.91
DES16C2ggt 53.89079 -29.22496 21.09 0.03 0.31057 OzDES 2.67
DES16C2grk 55.06853 -29.28963 20.45 0.04 d - -
DES17C2hno 53.72691 -29.19742 22.69 0.07 0.59953 OzDES 4.67
